model,prompt_variant,category,rows,choice_accuracy,accepts,recoveries,regressions,pred_A,pred_B,pred_BOTH,pred_NEITHER,pred_INVALID
gemma4,solve_first,neither_correct,5,0.0,0,0,0,0,0,0,0,5
gemma4,solve_first,recovery,2,0.0,0,0,0,0,0,0,0,2
gemma4,solve_first,regression,5,0.0,0,0,0,0,0,0,0,5
gemma4,type_check,neither_correct,5,0.0,0,0,0,0,0,0,0,5
gemma4,type_check,recovery,2,0.0,0,0,0,0,0,0,0,2
gemma4,type_check,regression,5,0.0,0,0,0,0,0,0,0,5
mathstral,solve_first,neither_correct,5,1.0,0,0,0,0,0,0,5,0
mathstral,solve_first,recovery,2,0.0,0,0,0,0,0,0,2,0
mathstral,solve_first,regression,5,0.0,3,0,3,0,1,2,2,0
mathstral,type_check,neither_correct,5,1.0,0,0,0,0,0,0,5,0
mathstral,type_check,recovery,2,0.0,0,0,0,0,0,0,2,0
mathstral,type_check,regression,5,0.0,1,0,1,0,1,0,4,0
qwen14b,solve_first,neither_correct,5,0.0,0,0,0,5,0,0,0,0
qwen14b,solve_first,recovery,2,1.0,2,2,0,0,2,0,0,0
qwen14b,solve_first,regression,5,0.2,4,0,4,1,3,1,0,0
qwen14b,type_check,neither_correct,5,0.0,0,0,0,5,0,0,0,0
qwen14b,type_check,recovery,2,1.0,2,2,0,0,2,0,0,0
qwen14b,type_check,regression,5,0.6,2,0,2,3,2,0,0,0
