packet_id,category,expected_choice,seed,pid,trial,policy,baseline_correct,policy_correct,baseline_answer,policy_answer,router_score,threshold
pairwise_router_v123_llama_with_gemma_budget0_all_0001_neither_correct_s60602_p0_t3,neither_correct,NEITHER,60602,0,3,target_intersection_top10,False,False,9,6,0.9011992064648768,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0002_neither_correct_s60602_p33_t2,neither_correct,NEITHER,60602,33,2,target_intersection_top20,False,False,-8/3,-1/2,0.9225872745483246,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0003_neither_correct_s60602_p56_t6,neither_correct,NEITHER,60602,56,6,target_intersection_top20,False,False,6,36,0.8823096151627967,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0004_neither_correct_s60602_p105_t4,neither_correct,NEITHER,60602,105,4,target_intersection_top10,False,False,4,3,0.8923375952185417,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0005_neither_correct_s60602_p121_t5,neither_correct,NEITHER,60602,121,5,union_rank_top3,False,False,1,7,0.8942952121764788,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0006_neither_correct_s60602_p123_t6,neither_correct,NEITHER,60602,123,6,target_intersection_top20,False,False,3/8,1/2,0.8903745765274313,0.8788645120018657
pairwise_router_v123_llama_with_gemma_budget0_all_0007_neither_correct_s60603_p42_t7,neither_correct,NEITHER,60603,42,7,target_intersection_top20,False,False,193/204,12/13,0.9088274768411893,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0008_neither_correct_s60603_p95_t0,neither_correct,NEITHER,60603,95,0,union_rank_top3,False,False,36,30,0.9302360430494152,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0009_neither_correct_s60603_p115_t7,neither_correct,NEITHER,60603,115,7,target_intersection_top20,False,False,187500,250000,0.9225089176628818,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0010_recovery_s60603_p47_t3,recovery,B,60603,47,3,union_rank_top3,False,True,50/3,25/3,0.9484962700788183,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0011_regression_s60603_p19_t4,regression,A,60603,19,4,target_intersection_top20,True,False,-7,-5,0.9160022838048298,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0012_regression_s60603_p94_t3,regression,A,60603,94,3,target_intersection_top20,True,False,53,36,0.9000328352436375,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0013_regression_s60603_p102_t0,regression,A,60603,102,0,target_intersection_top10,True,False,330,165,0.9877670564123661,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0014_regression_s60603_p111_t1,regression,A,60603,111,1,target_intersection_top20,True,False,32-8\pi,32-4\pi,0.9076320595145261,0.8942597139865306
pairwise_router_v123_llama_with_gemma_budget0_all_0015_regression_s60603_p111_t5,regression,A,60603,111,5,target_intersection_top20,True,False,32-8\pi,32-4\pi,0.8957284614502662,0.8942597139865306
