packet_id,category,expected_choice,pred_choice,confidence,exact_correct,baseline_correct,policy_correct,raw_answer,model
pairwise_router_v123_llama_with_gemma_budget0_all_0001_neither_correct_s60602_p0_t3,neither_correct,NEITHER,A,1.0,False,False,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0002_neither_correct_s60602_p33_t2,neither_correct,NEITHER,NEITHER,0.95,True,False,False,NEITHER,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0003_neither_correct_s60602_p56_t6,neither_correct,NEITHER,NEITHER,0.95,True,False,False,NEITHER,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0004_neither_correct_s60602_p105_t4,neither_correct,NEITHER,A,1.0,False,False,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0005_neither_correct_s60602_p121_t5,neither_correct,NEITHER,NEITHER,0.95,True,False,False,NEITHER,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0006_neither_correct_s60602_p123_t6,neither_correct,NEITHER,A,1.0,False,False,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0007_neither_correct_s60603_p42_t7,neither_correct,NEITHER,NEITHER,0.95,True,False,False,NEITHER,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0008_neither_correct_s60603_p95_t0,neither_correct,NEITHER,NEITHER,1.0,True,False,False,NEITHER,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0009_neither_correct_s60603_p115_t7,neither_correct,NEITHER,A,1.0,False,False,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0010_recovery_s60603_p47_t3,recovery,B,B,1,True,False,True,B,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0011_regression_s60603_p19_t4,regression,A,A,1.0,True,True,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0012_regression_s60603_p94_t3,regression,A,A,1.0,True,True,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0013_regression_s60603_p102_t0,regression,A,A,1.0,True,True,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0014_regression_s60603_p111_t1,regression,A,A,1.0,True,True,False,A,qwen3:14b
pairwise_router_v123_llama_with_gemma_budget0_all_0015_regression_s60603_p111_t5,regression,A,A,1.0,True,True,False,A,qwen3:14b
