packet_id,category,expected_choice,pred_choice,confidence,exact_correct,baseline_correct,policy_correct,raw_answer,model
pairwise_router_v119_0001_both_correct_s60601_p10_t5,both_correct,BOTH,A,1.0,False,True,True,A,gemma4:26b
pairwise_router_v119_0002_both_correct_s60601_p96_t2,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0003_both_correct_s60601_p100_t1,both_correct,BOTH,INVALID,,False,True,True,,gemma4:26b
pairwise_router_v119_0004_both_correct_s60601_p100_t6,both_correct,BOTH,INVALID,,False,True,True,,gemma4:26b
pairwise_router_v119_0005_both_correct_s60603_p2_t0,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0006_both_correct_s60603_p2_t1,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0007_both_correct_s60603_p2_t2,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0008_both_correct_s60603_p2_t3,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0009_both_correct_s60603_p2_t4,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0010_both_correct_s60603_p2_t5,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0011_both_correct_s60603_p2_t6,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0012_both_correct_s60603_p2_t7,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,gemma4:26b
pairwise_router_v119_0013_both_correct_s60603_p101_t7,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0014_both_correct_s60603_p107_t1,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0015_both_correct_s60603_p107_t2,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0016_both_correct_s60603_p107_t6,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0017_both_correct_s60603_p107_t7,both_correct,BOTH,B,1.0,False,True,True,B,gemma4:26b
pairwise_router_v119_0018_neither_correct_s60601_p75_t7,neither_correct,NEITHER,INVALID,,False,False,False,,gemma4:26b
pairwise_router_v119_0019_neither_correct_s60601_p102_t6,neither_correct,NEITHER,B,1.0,False,False,False,B,gemma4:26b
pairwise_router_v119_0020_neither_correct_s60602_p46_t3,neither_correct,NEITHER,NEITHER,1.0,True,False,False,NEITHER,gemma4:26b
