model,prompt_variant,source_packet_id,category,expected_choice,pred_choice,confidence,exact_correct,accepted_candidate
gemma4,solve_first,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,INVALID,,False,False
gemma4,solve_first,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,INVALID,,False,False
gemma4,type_check,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,INVALID,,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,BOTH,1,False,True
mathstral,type_check,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,NEITHER,1,False,False
mathstral,type_check,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,NEITHER,1,False,False
mathstral,type_check,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,B,1,False,True
mathstral,type_check,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,B,1,False,True
mathstral,solve_first,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,BOTH,1,False,True
mathstral,type_check,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,NEITHER,1,False,False
mathstral,type_check,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,NEITHER,1,False,False
mathstral,type_check,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,NEITHER,1,False,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,type_check,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,type_check,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,type_check,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,type_check,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,solve_first,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,NEITHER,1,True,False
mathstral,type_check,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,NEITHER,1,True,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,B,1.0,False,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,regression,A,A,1.0,True,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,A,1.0,True,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,regression,A,A,1.0,True,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,BOTH,1.0,False,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,regression,A,B,1.0,False,True
qwen14b,solve_first,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,B,1.0,False,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,regression,A,B,1.0,False,True
qwen14b,solve_first,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,B,1.0,False,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,regression,A,A,1.0,True,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,B,1.0,True,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,recovery,B,B,1.0,True,True
qwen14b,solve_first,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,B,1.0,True,True
qwen14b,type_check,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,recovery,B,B,1.0,True,True
qwen14b,solve_first,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,A,1.0,False,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,neither_correct,NEITHER,A,1.0,False,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,A,1.0,False,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,neither_correct,NEITHER,A,1.0,False,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,A,1.0,False,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5,neither_correct,NEITHER,A,1.0,False,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,A,1.0,False,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6,neither_correct,NEITHER,A,1.0,False,False
qwen14b,solve_first,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,A,1.0,False,False
qwen14b,type_check,pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7,neither_correct,NEITHER,A,1.0,False,False
