packet_id,category,expected_choice,pred_choice,confidence,exact_correct,baseline_correct,policy_correct,raw_answer,model
pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0__solve_first,regression,A,BOTH,1,False,True,False,BOTH,mathstral:7b
pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0__type_check,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6__solve_first,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6__type_check,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2__solve_first,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2__type_check,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7__solve_first,regression,A,B,1,False,True,False,B,mathstral:7b
pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7__type_check,regression,A,B,1,False,True,False,B,mathstral:7b
pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4__solve_first,regression,A,BOTH,1,False,True,False,BOTH,mathstral:7b
pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4__type_check,regression,A,NEITHER,1,False,True,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0__solve_first,recovery,B,NEITHER,1,False,False,True,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0__type_check,recovery,B,NEITHER,1,False,False,True,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3__solve_first,recovery,B,NEITHER,1,False,False,True,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3__type_check,recovery,B,NEITHER,1,False,False,True,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1__solve_first,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1__type_check,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3__solve_first,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3__type_check,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5__solve_first,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0070_neither_correct_s60601_p88_t5__type_check,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6__solve_first,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0071_neither_correct_s60601_p88_t6__type_check,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7__solve_first,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
pairwise_router_v125_budget2_all_0072_neither_correct_s60601_p88_t7__type_check,neither_correct,NEITHER,NEITHER,1,True,False,False,NEITHER,mathstral:7b
