heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,target,other,seed,pid,trial,baseline_correct,raw_router_correct,pairwise_gated_correct,raw_accept,pairwise_accept,policy,packet_id,judge_model,judge_rule,judge_choice
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,0,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,1,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,2,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,3,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,4,True,True,True,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,5,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,6,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,0,7,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,0,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,1,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,2,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,3,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,4,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,5,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,6,False,False,False,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0037_neither_correct_s60601_p1_t6,mathstral,never,NEITHER
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,1,7,False,False,False,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0038_neither_correct_s60601_p1_t7,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,0,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0001_both_correct_s60601_p2_t0,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,1,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0002_both_correct_s60601_p2_t1,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,2,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0003_both_correct_s60601_p2_t2,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,3,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0004_both_correct_s60601_p2_t3,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,4,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0005_both_correct_s60601_p2_t4,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,5,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0006_both_correct_s60601_p2_t5,mathstral,never,B
60601,0,mathstral,never,158,0,0,MATH/Gemma,MATH/Llama,60601,2,6,True,True,True,True,False,union_rank_top3,pairwise_router_v125_budget2_all_0007_both_correct_s60601_p2_t6,mathstral,never,B
