heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,target,other,seed,pid,trial,baseline_correct,raw_router_correct,pairwise_gated_correct,raw_accept,pairwise_accept,policy,packet_id,judge_model,judge_rule,judge_choice
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,0,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,1,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,2,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,3,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,4,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,5,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,6,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,0,7,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,1,0,True,True,True,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,1,1,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,1,2,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
60601,0,mathstral,never,4,0,0,MATH/Llama,MATH/Gemma,60601,1,3,False,False,False,False,False,baseline,,mathstral,never,NOT_ROUTED
