packet_id,category,expected_choice,pred_choice,confidence,exact_correct,baseline_correct,policy_correct,raw_answer,model
pairwise_router_v120_budget0_all_0001_both_correct_s60601_p2_t0,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0002_both_correct_s60601_p2_t1,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0003_both_correct_s60601_p2_t2,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0004_both_correct_s60601_p2_t3,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0005_both_correct_s60601_p2_t4,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0006_both_correct_s60601_p2_t5,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0007_both_correct_s60601_p2_t6,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0008_both_correct_s60601_p2_t7,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0009_both_correct_s60601_p10_t5,both_correct,BOTH,A,1.0,False,True,True,A,qwen3:14b
pairwise_router_v120_budget0_all_0010_both_correct_s60601_p96_t2,both_correct,BOTH,B,1.0,False,True,True,B,qwen3:14b
pairwise_router_v120_budget0_all_0011_both_correct_s60601_p100_t1,both_correct,BOTH,B,1,False,True,True,B,qwen3:14b
pairwise_router_v120_budget0_all_0012_both_correct_s60601_p100_t6,both_correct,BOTH,B,1,False,True,True,B,qwen3:14b
pairwise_router_v120_budget0_all_0013_both_correct_s60602_p2_t0,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
pairwise_router_v120_budget0_all_0014_both_correct_s60602_p2_t1,both_correct,BOTH,BOTH,1.0,True,True,True,BOTH,qwen3:14b
